positiv,komparativ,superlativ
apotropäisch,apotropäischer,am apotropäischsten
Bad Köstritzer,—,—
ereignisreich,ereignisreicher,am ereignisreichsten
wegsam,wegsamer,am wegsamsten
romanistisch,romanistischer,am romanistischsten
porentief,—,—
histogen,—,—
brandaktuell,—,—
unvorteilhaft,unvorteilhafter,am unvorteilhaftesten
parasozial,—,—
seifig,seifiger,am seifigsten
inkorrekt,inkorrekter,am inkorrektesten
lind,linder,am lindestenam lindsten
dichtschließend,—,—
verständnislos,verständnisloser,am verständnislosesten
notwendig,notwendiger,am notwendigsten
unethisch,unethischer,am unethischsten
zweispurig,—,—
innovativ,innovativer,am innovativsten
unverfallbar,—,—
permanent,—,—
steuerpolitisch,—,—
unflätig,unflätiger,am unflätigsten
humanitär,humanitärer,am humanitärsten
anachronistisch,anachronistischer,am anachronistischsten
verkappt,verkappter,am verkapptesten
oberfränkisch,—,—
zwölfte,—,—
interaktiv,interaktiver,am interaktivsten
gschert,gscherter,am gschertesten
gagausisch,—,—
bewegungsunfähig,—,—
wohltätig,wohltätiger,am wohltätigsten
rauchlos,—,—
taufrisch,taufrischer,am taufrischstenam taufrischesten
gewitzigt,gewitzigter,am gewitzigtesten
bar,—,—
vormalig,—,—
russländisch,russländischer,am russländischsten
praxisnah,praxisnaherpraxisnäher,am praxisnahstenam praxisnahestenam praxisnächsten
gastfreundlich,gastfreundlicher,am gastfreundlichsten
skoliosexuell,—,—
organologisch,—,—
freudianisch,—,—
dreimonatlich,—,—
affixlos,—,—
minnig,minniger,am minnigsten
schwarzfeldrig,—,—
plantar,—,—
damaszenisch,—,—
anschmiegsam,anschmiegsamer,am anschmiegsamsten
läpsch,läpscher,am läpschsten
paralinguistisch,—,—
verachtungswürdig,verachtungswürdiger,am verachtungswürdigsten
reflexiv,—,—
tierpsychologisch,—,—
ekstatisch,ekstatischer,am ekstatischsten
aufhältig,—,—
klitschnass,—,—
überzählig,—,—
stotterig,stotteriger,am stotterigsten
—,—,am viertgrößten
pronominal,—,—
unbildbar,—,—
experimentell,experimenteller,am experimentellsten
befüllt,—,—
justiziabel,—,—
niederländisch,niederländischer,am niederländischsten
kynisch,—,—
rezeptiv,rezeptiver,am rezeptivsten
westpreußisch,—,—
konfus,konfuser,am konfusesten
vigesimal,—,—
übergreifend,—,—
protektiv,protektiver,am protektivsten
zuteilungsreif,—,—
ternär,—,—
entgeistert,entgeisterter,am entgeistertsten
körnig,körniger,am körnigsten
lamellenförmig,—,—
stromlinienförmig,stromlinienförmiger,am stromlinienförmigsten
unannehmbar,—,—
fachspezifisch,fachspezifischer,am fachspezifischsten
monovalent,—,—
abnormal,abnormaler,am abnormalsten
schlängelnd,—,—
platzmäßig,—,—
unternehmerisch,unternehmerischer,am unternehmerischsten
silberhaltig,silberhaltiger,am silberhaltigsten
fotochrom,—,—
dysmel,—,—
lüftungstechnisch,—,—
mainzisch,—,—
angeschickert,—,—
schmalbrüstig,schmalbrüstiger,am schmalbrüstigsten
deklinierbar,—,—
allwissend,—,—
verschreibungspflichtig,—,—
nominativisch,—,—
zwanzigprozentig,—,—
inflationär,inflationärer,am inflationärsten
hager,hagererhagrer,am hagersten
gültig,—,—
unwissentlich,—,—
passiv-aggressiv,—,—
sprachkritisch,sprachkritischer,am sprachkritischsten
ungrammatisch,—,—
hochauflösend,—,—
averbal,—,—
waldbedeckt,—,—
rindledern,—,—
proto-indoeuropäisch,—,—
fächerartig,—,—
beschäftigt,beschäftigter,am beschäftigtsten
yttriumhaltig,yttriumhaltiger,am yttriumhaltigsten
qualitätsvoll,qualitätsvoller,am qualitätsvollsten
säurefrei,—,—
bebrillt,—,—
geschwängert,—,—
umweltpolitisch,—,—
gebräuchlich,gebräuchlicher,am gebräuchlichsten
kirchenlateinisch,—,—
baumarm,baumärmer,am baumärmsten
szintigrafisch,—,—
vorzeitlich,vorzeitlicher,am vorzeitlichsten
proaktiv,proaktiver,am proaktivsten
gewahr,—,—
krampfig,krampfiger,am krampfigsten
betrübt,betrübter,am betrübtesten
effizient,effizienter,am effizientesten
arkan,—,—
trapezförmig,—,—
wochenlang,—,—
raketenhaft,—,—
sichtbar,sichtbarer,am sichtbarsten
nachrichtenorientiert,—,—
interstitiell,—,—
gutverdienend,—,—
vernehmbar,—,—
offensiv,offensiver,am offensivsten
spitzohrig,—,—
zügig,zügiger,am zügigsten
melanozytär,—,—
allgemeingültig,—,—
holländisch,—,—
abhörsicher,abhörsichererabhörsichrer,am abhörsichersten
unterschwänglich,—,—
perfide,perfider,am perfidesten
sechstäglich,—,—
neusumerisch,—,—
kultisch,kultischer,am kultischsten
stilistisch,stilistischer,am stilistischsten
unbemerkt,—,—
eurhythmisch,—,—
knöchern,knöcherner,am knöchernsten
farbecht,farbechter,am farbechtesten
voreilig,voreiliger,am voreiligsten
pudelnackt,—,—
zinslos,—,—
neunseitig,—,—
eloquent,eloquenter,am eloquentesten
luftgekühlt,—,—
aargauisch,aargauischer,am aargauischsten
anthropomorph,anthropomorpher,am anthropomorphsten
schuldfrei,—,—
containerweise,—,—
missvergnügt,missvergnügter,am missvergnügtesten
despotisch,despotischer,am despotischsten
additiv,—,—
scharfkantig,—,—
postum,—,—
unpathetisch,unpathetischer,am unpathetischsten
soldatensprachlich,—,—
frühblühend,—,—
dreizehnstündig,—,—
schadlos,—,—
schnuckelig,schnuckeliger,am schnuckeligsten
unmündig,unmündiger,am unmündigsten
derangiert,derangierter,am derangiertesten
anamorph,anamorpher,am anamorphesten
heroisch,heroischer,am heroischsten
marginal,marginaler,am marginalsten
ostelbisch,—,—
verheißungsvoll,verheißungsvoller,am verheißungsvollsten
siebenjährlich,—,—
vagil,vagiler,am vagilsten
folgerecht,folgerechter,am folgerechtesten
biennal,—,—
durchbacken,—,—
abänderlich,—,—
idyllisch,idyllischer,am idyllischsten
moldawisch,moldawischer,am moldawischsten
subfossil,—,—
zielbewusst,zielbewusster,am zielbewusstesten
unautorisiert,—,—
falsch-positiv,—,—
neubabylonisch,—,—
lanzettlich,—,—
grindig,grindiger,am grindigsten
reiterisch,—,—
wirklichkeitsnah,wirklichkeitsnäher,am wirklichkeitsnächsten
wellenlos,—,—
teilstationär,—,—
englischsprachig,—,—
komparativ,komparativer,am komparativsten
gemein,gemeiner,am gemeinsten
überbelegt,—,—
aserbaidschanisch,—,—
sukzessiv,—,—
erntereif,—,—
kriminalistisch,—,—
ruhmsüchtig,ruhmsüchtiger,am ruhmsüchtigsten
weisungsgebunden,—,—
postwendend,—,—
triefnass,—,—
flaschengrün,—,—
katastrophisch,katastrophischer,am katastrophischsten
eigen,eigener,am eigensten
nachchristlich,—,—
lebensnah,lebensnaherlebensnäher,am lebensnahstenam lebensnahestenam lebensnächsten
spasmisch,—,—
ungarisch,ungarischer,am ungarischsten
disproportional,—,—
aleatorisch,aleatorischer,am aleatorischsten
metabotrop,—,—
o-beinig,—,—
verwerflich,verwerflicher,am verwerflichsten
zwäg,zwäger,am zwägsten
sechzehnjährig,—,—
cancerogen,—,—
mährisch,mährischer,am mährischsten
nutznießerisch,—,—
statutarisch,—,—
unerkannt,—,—
zweiwöchig,—,—
dienstrechtlich,—,—
mylonitisch,—,—
abbauwürdig,—,—
halbvoll,—,—
linkslastig,linkslastiger,am linkslastigsten
pflichteifrig,—,—
unverwandt,—,—
parteilos,—,—
selbstgebaut,—,—
brav,braver,am bravsten
mautfrei,—,—
amateurwissenschaftlich,—,—
taggleich,—,—
rotwangig,rotwangiger,am rotwangigsten
bacherlwarm,—,—
erforschbar,erforschbarer,am erforschbarsten
kartesisch,—,—
aper,apereraprer,am apersten
rechtsfreundlich,—,—
wundersam,wundersamer,am wundersamsten
turniererfahren,turniererfahrener,am turniererfahrensten
quadrillionste,—,—
Berchtesgadener,—,—
feinherb,—,—
einjährig,—,—
konvulsivisch,—,—
akneiform,—,—
sandsteinartig,—,—
uniert,—,—
plurizentrisch,—,—
herausragend,herausragender,am herausragendsten
biped,—,—
vakat,—,—
panamaisch,—,—
schwielig,schwieliger,am schwieligsten
imperial,imperialer,am imperialsten
beiläufig,beiläufiger,am beiläufigsten
virtuell,—,—
zehnprozentig,—,—
provokativ,provokativer,am provokativsten
irdisch,irdischer,am irdischsten
grauslich,grauslicher,am grauslichsten
gottverdammt,gottverdammter,am gottverdammtesten
autosuggestiv,—,—
wenig,weniger,am wenigsten
reserviert,reservierter,am reserviertesten
stressfrei,—,—
undurchführbar,—,—
genüsslich,genüsslicher,am genüsslichsten
thetisch,—,—
kabellos,—,—
nichtpolitisch,—,—
goldgeschmückt,—,—
exergon,exergoner,am exergonsten
begrannt,—,—
viermastig,—,—
zugelassen,—,—
professionell,professioneller,am professionellsten
übersetzt,—,—
geharnischt,geharnischter,am geharnischtesten
eiterig,eiteriger,am eiterigsten
aufrührerisch,aufrührerischer,am aufrührerischsten
widerrechtlich,widerrechtlicher,am widerrechtlichsten
rechtsstaatlich,rechtsstaatlicher,am rechtsstaatlichsten
sinnlos,sinnloser,am sinnlosesten
heillos,—,—
crèmeartig,—,—
schlaflos,—,—
unsäglich,unsäglicher,am unsäglichsten
pikaresk,—,—
hyggelig,hyggeliger,am hyggeligsten
blitzartig,—,—
anliegend,—,—
dreibeinig,—,—
verbrannt,—,—
optometrisch,—,—
unumgehbar,—,—
sechsarmig,—,—
bärig,bäriger,am bärigsten
menschengestaltig,—,—
alleine,—,—
hochverschuldet,—,—
verrufen,verrufener,am verrufensten
spielerisch,spielerischer,am spielerischsten
ungeschützt,ungeschützter,am ungeschütztesten
dolos,—,—
nackert,—,—
interparlamentarisch,—,—
leistbar,leistbarer,am leistbarsten
peinlich,peinlicher,am peinlichsten
unübersehbar,—,—
transgender,—,—
wohlmeinend,wohlmeinender,am wohlmeinendsten
filzig,filziger,am filzigsten
ehrenwert,ehrenwerter,am ehrenwertesten
gesundheitsbewusst,gesundheitsbewusster,am gesundheitsbewusstesten
Krebs erregend,—,—
synodal,—,—
wachsbleich,—,—
proiranisch,—,—
erzen,—,—
gebaut,—,—
klammheimlich,—,—
arteriell,—,—
quittegelb,—,—
zaundürr,—,—
korallogen,—,—
estnisch,estnischer,am estnischsten
salzburgerisch,salzburgerischer,am salzburgerischsten
wahnsinnig,wahnsinniger,am wahnsinnigsten
propriozeptiv,—,—
türkisch,türkischer,am türkischsten
fesch,fescher,am feschestenam feschsten
einträchtig,einträchtiger,am einträchtigsten
kantianisch,—,—
arbeitnehmerfreundlich,arbeitnehmerfreundlicher,am arbeitnehmerfreundlichsten
südostatlantisch,—,—
erdbeerfarben,—,—
altdänisch,—,—
mehrgleisig,—,—
doppelwandig,—,—
olmekisch,—,—
verschlagen,verschlagenerverschlagner,am verschlagensten
äußer(er),—,am äußersten
sentimental,sentimentaler,am sentimentalsten
bräunlich,bräunlicher,am bräunlichsten
letztere,—,—
abgegrenzt,—,—
mucksmäuschenstill,—,—
liebevoll,liebevoller,am liebevollsten
sprunghaft,sprunghafter,am sprunghaftesten
uneinnehmbar,—,—
deviant,devianter,am deviantesten
kommerziell,kommerzieller,am kommerziellsten
gemächlich,gemächlicher,am gemächlichsten
austriakisch,—,—
weitläufig,weitläufiger,am weitläufigsten
-,-,-
teratologisch,—,—
tragbar,tragbarer,am tragbarsten
isodom,—,—
langersehnt,langersehnter,am langersehntesten
groggy,—,—
belletristisch,—,—
voll,voller,am vollsten
zerebral,—,—
präsent,präsenter,am präsentesten
unbegebbar,—,—
achtminütig,—,—
illuminiert,—,—
mobil,mobiler,am mobilsten
flächsern,—,—
bildhaft,bildhafter,am bildhaftesten
antiviral,—,—
40-prozentig,—,—
siebzehnstündig,—,—
urpersönlich,urpersönlicher,am urpersönlichsten
ovarial,—,—
sorglich,sorglicher,am sorglichsten
anerkannt,anerkannter,am anerkanntesten
herzerwärmend,herzerwärmender,am herzerwärmendsten
manipulativ,manipulativer,am manipulativsten
saubillig,—,—
schonend,schonender,am schonendsten
unleidig,unleidiger,am unleidigsten
porno,—,—
blutüberströmt,—,—
verficken,—,—
orientalisch,orientalischer,am orientalischsten
schrittweise,—,—
häuslich,häuslicher,am häuslichsten
achtwöchig,—,—
schaulustig,—,—
unrealistisch,unrealistischer,am unrealistischsten
phoniatrisch,—,—
harmonisch,harmonischer,am harmonischsten
jagdberechtigt,—,—
ausfällig,ausfälliger,am ausfälligsten
wienerisch,wienerischer,am wienerischsten
regierungsnah,—,—
suchtkrank,—,—
unbehütet,—,—
benutzbar,—,—
geistlos,geistloser,am geistlosesten
befindlich,—,—
verzeihlich,verzeihlicher,am verzeihlichsten
zittrig,zittriger,am zittrigsten
potthässlich,—,—
johanneisch,—,—
gleichmäßig,gleichmäßiger,am gleichmäßigsten
radioaktiv,radioaktiver,am radioaktivsten
zart,zarter,am zartesten
einzigartig,—,—
aro,—,—
kirgisisch,—,—
eruptiv,eruptiver,am eruptivsten
kotranslational,—,—
sympathikolytisch,—,—
kreditunwürdig,kreditunwürdiger,am kreditunwürdigsten
egozentrisch,egozentrischer,am egozentrischsten
finanziell,—,—
transkontinental,—,—
pechschwarz,—,—
uranhaltig,uranhaltiger,am uranhaltigsten
leichtbewaffnet,—,—
nahe,näher,am nächsten
dominiert,—,—
mehrsprachig,—,—
ungenügend,ungenügender,am ungenügendsten
spillerig,spilleriger,am spillerigsten
meliorativ,—,—
—,—,am allerbesten
busig,busiger,am busigsten
schäbig,schäbiger,am schäbigsten
diachron,—,—
zweiköpfig,—,—
uneidlich,—,—
sri-lankisch,—,—
normativ,normativer,am normativsten
lieb,lieber,am liebsten
hadernhaltig,—,—
abgefahren,abgefahrener,am abgefahrensten
multivalent,—,—
brummig,brummiger,am brummigsten
sensationslüstern,sensationslüsterner,am sensationslüsternsten
patriarchalisch,patriarchalischer,am patriarchalischsten
öffentlichkeitswirksam,öffentlichkeitswirksamer,am öffentlichkeitswirksamsten
online,—,—
verrunzelt,verrunzelter,am verrunzeltsten
altgeworden,—,—
mehrdimensional,—,—
erblich,—,—
außerzeitlich,—,—
rispenförmig,—,—
südkoreanisch,—,—
aquamarinfarben,—,—
kandidel,kandidler,am kandidelsten
einstöckig,—,—
fettarm,fettärmer,am fettärmsten
berüscht,—,—
quitt,—,—
umbenannt,—,—
prosodisch,—,—
sakrosankt,—,—
wahrhaftig,wahrhaftiger,am wahrhaftigsten
korrumpierbar,korrumpierbarer,am korrumpierbarsten
unliterarisch,unliterarischer,am unliterarischsten
polyzentrisch,—,—
sauerstofflos,—,—
hüllenlos,—,—
herzzerreißend,herzzerreißender,am herzzerreißendsten
bouquetarm,—,—
sozialistisch,—,—
urgermanisch,—,—
overstyled,—,—
anverwahrt,—,—
4-teilig,—,—
bildungssprachlich,—,—
ikonografisch,—,—
zentimeterdick,—,—
präskriptiv,—,—
vollbürtig,—,—
gell,geller,am gellsten
belehrend,belehrender,am belehrendsten
grippig,—,—
isometrisch,isometrischer,am isometrischsten
toxikologisch,—,—
weiß,weißer,am weißesten
rekordverdächtig,rekordverdächtiger,am rekordverdächtigsten
ausverschämt,ausverschämter,am ausverschämtesten
genasführt,—,—
gleichgeschlechtlich,—,—
neunwöchig,—,—
judiziös,—,—
zitronenfarben,—,—
preisgekrönt,preisgekrönter,am preisgekröntesten
veränderlich,veränderlicher,am veränderlichsten
stinkwütend,—,—
beendigt,—,—
euphonisch,euphonischer,am euphonischsten
gelb,gelber,am gelbsten
unbekehrbar,—,—
subsidiär,subsidiärer,am subsidiärsten
willensstark,willensstärker,am willensstärksten
regenerativ,—,—
ausgelassen,ausgelassenerausgelassner,am ausgelassensten
elementfremd,—,—
hauptberuflich,—,—
unsanft,unsanfter,am unsanftesten
philiströs,philiströser,am philiströsesten
scheißfreundlich,scheißfreundlicher,am scheißfreundlichsten
chronologisch,—,—
achtpfündig,—,—
hären,—,—
schossfest,schossfester,am schossfestesten
verfassungsrechtlich,—,—
orthogonal,—,—
dreiwöchig,—,—
bogig,bogiger,am bogigsten
charming,—,—
sediert,—,—
unverletzlich,—,—
zweiäugig,—,—
nymphenhaft,nymphenhafter,am nymphenhaftesten
verwordagelt,—,—
alabasterfarben,—,—
homosexuell,—,—
metaphorisch,—,—
disparat,disparater,am disparatesten
ungefähr,—,—
Spalter,—,—
verlustreich,verlustreicher,am verlustreichsten
leer,leerer,am leersten
intensional,—,—
münstersch,—,—
eigentlich,—,—
flamboyant,flamboyanter,am flamboyantesten
wunderlich,wunderlicher,am wunderlichsten
treu,treuer,am treustenam treuesten
posthumanistisch,—,—
rund,runder,am rundesten
weinfroh,—,—
kriegsmüde,kriegsmüder,am kriegsmüdesten
gewinnsüchtig,gewinnsüchtiger,am gewinnsüchtigsten
erschreckend,erschreckender,am erschreckendsten
priapeisch,—,—
vorspanisch,—,—
superlativ,—,—
assyrisch,—,—
-,-,-
gallig,galliger,am galligsten
kontraproduktiv,kontraproduktiver,am kontraproduktivsten
einkommensschwach,einkommensschwächer,am einkommensschwächsten
feig,feiger,am feigsten
tuchen,—,—
-,-,-
wurzelverwandt,—,—
apnoisch,—,—
kartographisch,—,—
fliegend,—,—
ergebnislos,ergebnisloser,am ergebnislosesten
taiwanisch,—,—
maximal,—,—
altslawisch,—,—
breithüftig,breithüftiger,am breithüftigsten
selbstherrlich,selbstherrlicher,am selbstherrlichsten
phaneromer,—,—
unversucht,—,—
lipophil,—,—
mutistisch,—,—
chlorhaltig,chlorhaltiger,am chlorhaltigsten
abchasisch,—,—
dickköpfig,dickköpfiger,am dickköpfigsten
unerquicklich,unerquicklicher,am unerquicklichsten
standesgemäß,standesgemäßer,am standesgemäßesten
-,-,-
konfliktär,—,—
undeutlich,undeutlicher,am undeutlichsten
strichliert,—,—
thermonuklear,—,—
weltmeisterlich,weltmeisterlicher,am weltmeisterlichsten
responsiv,—,—
autoritär,autoritärer,am autoritärsten
